Date Modified,Vehicle Number,Operator,Operator Short Code,Operator Prefix,Unit Number,Mode,Date of First Registration,Date of Manufacture,Bike Rack Capable,Bus Size,Engine Rating,"Max no. of passengers (Seated, Adult)","Max no. of passengers (Standing, Adult)",No. of Wheelchair Spaces,TARE Weight (KG),Vehicle Registration Number,source_filename
23/07/2018,3117,Tranzurban,TGL,TZM,Unit_11,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB890,2018-07-23_fleet-list.csv
23/07/2018,3118,Tranzurban,TGL,TZM,Unit_11,Bus,23/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB866,2018-07-23_fleet-list.csv
23/07/2018,3119,Tranzurban,TGL,TZM,Unit_09,Bus,23/04/2018,24/04/2018,Yes,MV,EURO6,33,22,,7560,LJB868,2018-07-23_fleet-list.csv
23/07/2018,3120,Tranzurban,TGL,TZM,Unit_09,Bus,23/04/2018,24/04/2018,Yes,MV,EURO6,33,22,,7560,LJB869,2018-07-23_fleet-list.csv
23/07/2018,3121,Tranzurban,TGL,TZM,Unit_09,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB894,2018-07-23_fleet-list.csv
23/07/2018,3122,Tranzurban,TGL,TZM,Unit_09,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB895,2018-07-23_fleet-list.csv
23/07/2018,3123,Tranzurban,TGL,TZM,Unit_09,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB887,2018-07-23_fleet-list.csv
23/07/2018,3124,Tranzurban,TGL,TZM,Unit_09,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB889,2018-07-23_fleet-list.csv
23/07/2018,3125,Tranzurban,TGL,TZM,Unit_09,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB892,2018-07-23_fleet-list.csv
23/07/2018,3126,Tranzurban,TGL,TZM,Unit_09,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB893,2018-07-23_fleet-list.csv
23/07/2018,3127,Tranzurban,TGL,TZM,Unit_09,Bus,23/04/2018,24/04/2018,Yes,MV,EURO6,33,22,,7560,LJB870,2018-07-23_fleet-list.csv
23/07/2018,3128,Tranzurban,TGL,TZM,Unit_09,Bus,14/05/2018,16/05/2018,Yes,MV,EURO6,33,22,,7560,LKA248,2018-07-23_fleet-list.csv
23/07/2018,3129,Tranzurban,TGL,TZM,Unit_09,Bus,14/05/2018,16/05/2018,Yes,MV,EURO6,33,22,,7560,LKA249,2018-07-23_fleet-list.csv
23/07/2018,3130,Tranzurban,TGL,TZM,Unit_09,Bus,14/05/2018,16/05/2018,Yes,MV,EURO6,33,22,,7560,LKA250,2018-07-23_fleet-list.csv
23/07/2018,3131,Tranzurban,TGL,TZM,Unit_09,Bus,30/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB886,2018-07-23_fleet-list.csv
23/07/2018,3132,Tranzurban,TGL,TZM,Unit_09,Bus,14/05/2018,16/05/2018,Yes,MV,EURO6,33,22,,7560,LKA245,2018-07-23_fleet-list.csv
23/07/2018,3133,Tranzurban,TGL,TZM,Unit_09,Bus,14/05/2018,16/05/2018,Yes,MV,EURO6,33,22,,7560,LKA246,2018-07-23_fleet-list.csv
23/07/2018,3134,Tranzurban,TGL,TZM,Unit_09,Bus,14/05/2018,16/05/2018,Yes,MV,EURO6,33,22,,7560,LKA242,2018-07-23_fleet-list.csv
